Kategori,Penyakit,Curhatan_Pasien,Tingkat_Bahaya,Pertolongan_Pertama
Anak,Kejang Demam (Step),"Dok, anak saya umurnya 2 tahun lagi demam tinggi. Tiba-tiba badannya kaku, kejang-kejang, dan matanya mendelik ke atas.",DARURAT (MERAH),"JANGAN masukkan sendok/kopi/jari ke mulut anak! Miringkan badannya ke posisi aman agar tidak tersedak air liur. Longgarkan pakaiannya. Segera bawa ke IGD!"
Pencernaan,Usus Buntu (Apendisitis),"Perut kanan bawah saya sakit banget dok sampai nggak bisa jalan tegak. Awalnya cuma mules di ulu hati, tapi lama-lama sakitnya pindah ke kanan bawah.",DARURAT (MERAH),"Ini sangat berisiko usus pecah. Jangan makan/minum apapun, jangan dipijat, dan jangan minum obat pencahar. Segera bawa ke IGD RS!"
Jantung,Serangan Jantung,"Dada sebelah kiri saya tiba-tiba nyeri hebat kayak ditindih beban berat. Sakitnya menjalar sampai ke rahang, leher, dan lengan kiri. Keringat dingin ngucur deras.",DARURAT (MERAH),"Segera panggil ambulans atau bawa ke IGD! Dudukkan pasien di lantai (jangan biarkan berdiri). Longgarkan pakaian. Jika pasien punya obat Nitrogliserin, segera berikan di bawah lidah."
Saraf,Stroke Ringan (TIA),"Dok, tadi tiba-tiba separuh wajah bapak saya mencong, ngomongnya cadel nggak jelas, dan tangan kanannya lemas nggak bisa diangkat. Tapi sekarang udah mendingan.",DARURAT (MERAH),"Walaupun membaik, ini tanda peringatan awal stroke besar (Golden Period)! Segera bawa ke IGD RS terdekat dalam waktu kurang dari 4 jam untuk penanganan saraf."
Mental,Serangan Panik (Panic Attack),"Jantung saya tiba-tiba deg-degan kencang banget, napas sesak, keringat dingin, dan rasanya kayak mau mati padahal saya lagi nggak ngapa-ngapain.",MENENGAH (KUNING),"Bawa ke tempat tenang. Pandu latihan napas (teknik 4-7-8: tarik 4 detik, tahan 7 detik, buang 8 detik). Yakinkan bahwa dia aman dan ini hanya serangan panik sementara."
Saraf,Saraf Kejepit (HNP),"Pinggang bawah saya nyeri banget dok. Sakitnya menjalar sampai ke bokong dan betis, rasanya kayak kesetrum dan kesemutan kalau dipakai jalan.",MENENGAH (KUNING),"Istirahat dari aktivitas berat atau mengangkat beban. Berbaring di permukaan datar dan keras. Kompres hangat area pinggang. Segera jadwalkan konsultasi ke dokter saraf/fisioterapi."
Kulit,Biduran (Urtikaria),"Kulit saya mendadak bentol-bentol lebar warna merah. Kerasa gatal banget dan panas sehabis makan udang atau pas kena angin malam.",RINGAN (HIJAU),"Hindari pemicu alergi (makanan/dingin). Jangan digaruk karena akan makin menyebar. Mandi air hangat/dingin sesuai kenyamanan. Oleskan bedak salisil atau minum obat antihistamin (Cetirizine)."
Pencernaan,Keracunan Makanan,"Habis jajan sembarangan, perut saya melilit parah, muntah-muntah, dan mencret berkali-kali sampai lemas letoy.",MENENGAH (KUNING),"Fokus cegah dehidrasi! Minum oralit/air kelapa setiap habis muntah/mencret. Jika diare berdarah atau muntah tidak berhenti lebih dari 24 jam, bawa ke rumah sakit."
THT,Vertigo,"Tiba-tiba aja pas bangun tidur kepala saya pusing muter-muter hebat banget. Rasanya kamar ini goyang semua sampai saya mual pengen muntah.",MENENGAH (KUNING),"Segera duduk atau berbaring. Pejamkan mata dan hindari pergerakan kepala secara tiba-tiba. Istirahat di ruangan yang redup dan sunyi."
Kulit,Eksim (Dermatitis Atopik),"Kulit di area lipatan siku dan lutut saya kering banget, pecah-pecah, kadang berair, dan gatal parah sampai susah tidur dok.",RINGAN (HIJAU),"Gunakan sabun mandi bayi atau sabun khusus kulit sensitif. Rutin oleskan pelembap (moisturizer) tanpa pewangi. Jika radang parah, butuh resep salep kortikosteroid dari dokter."
Anak,Ruam Popok (Diaper Rash),"Bokong dan area kemaluan bayi saya merah-merah meradang dok. Anaknya rewel terus apalagi pas pipis.",RINGAN (HIJAU),"Ganti popok lebih sering. Bersihkan area bokong dengan kapas dan air biasa (hindari tisu basah beralkohol). Keringkan dengan cara ditepuk lembut, lalu oleskan krim ruam popok (mengandung Zinc Oxide) sebelum pakai popok baru."
